from,to,x,y,z,qx,qy,qz,qw,translation_sigma,rotation_sigma,loop
24,25,0.67020201828704495,0.017371489220128655,0.37742572502321758,-0.0082576501298765575,-0.00097269352303095693,0.01663383105870388,0.99982707542152172,0.059234128064833337,0.015743891524406962,0
25,26,0.65815734523186809,0.009875016778390755,0.36464089878800543,-0.0059022904737432123,0.0049372494230579891,0.012190759005157314,0.99989608056546375,0.058812090396005282,0.015576669706396316,0
26,27,0.65543732741826766,0.0031148095406297038,0.37429447004332816,-0.0050668332185296915,-0.0001503384457605546,0.0047714631896142966,0.99997576857567783,0.058869687042262579,0.015278461614924124,0
27,28,0.66095493201179245,-0.046606992765188426,0.37537240381682602,0.016342062688588392,-0.0065775404316516517,-0.032707616192054978,0.99930970414180686,0.059038416351428598,0.016486338094381055,0
28,29,0.67897418875742033,0.026753833129051774,0.37467933672950721,-0.0043253636422750852,0.00028688085322791447,0.013419270984499469,0.99990056110344427,0.059398877576388891,0.015564100826775111,0
29,30,0.56815151096635508,0.068731058681778201,0.27959657759511602,-0.074166956460192904,0.0097530605609302407,0.12731106474774936,0.98903793313093968,0.055923534941317445,0.020928143976705203,0
0,30,0.14781896043954484,-3.2545020595631087,0.1273106801357542,-0.49050936135843565,0.0013610992816493175,0.8605595343268454,-0.13724431393558117,0.150552004551126,0.035000000000000003,1
30,31,-0.015236465961759982,0.076787867606607829,0.0023808475010904662,-0.068945485918936622,0.00096522276130607987,0.1078362222851041,0.99177464047015262,0.041958027537695342,0.020133937410957776,0
31,32,-0.040112622151232458,0.09454078754447881,-0.01182377079559449,-0.077755242551331677,-0.014387463392033593,0.1373604563252166,0.98735972582998077,0.042584422629090075,0.021366661597807129,0
32,33,-0.026041582733568713,0.042936764624988299,0.011247299626167884,-0.064900014716844964,0.0007307914084635624,0.11779082737807947,0.99091511998720561,0.041286524275084752,0.020395900451745712,0
33,34,0.0025669137309871637,0.087346120070509681,-0.03981354947193938,-0.054302843009448064,0.015734164422908283,0.12488695538955889,0.99055887542565113,0.042400657782128266,0.020500841505148588,0
34,35,0.16103906814859492,0.11116323250571369,0.12222890005321285,-0.081995384352211653,-0.0079882932607963138,0.12023641894371574,0.98932105389267033,0.045767947519455329,0.020850950573777255,0
35,36,-0.017024516021212577,0.078412850766174991,-0.045137273071701456,-0.071574098761914326,0.010722011200942516,0.13652196576306172,0.98798984798752665,0.042301600357819574,0.021205615503729871,0
36,37,-0.033912018013519507,0.060911253778244134,0.0055099726019942619,-0.083080208701861655,-0.0060849192763207513,0.12416066696750347,0.98875921308356995,0.041748314474118871,0.021003175022980106,0
37,38,-0.018629283669866048,0.076887334163732168,-0.0019823332485373601,-0.079465551374389889,-0.0062659129333068027,0.13606971329288145,0.98748721389406835,0.04197842140511792,0.021334405986170313,0
38,39,0.390302467315506,0.099509509902981019,0.2175499332082933,-0.059244402305752994,-0.0020186097216630464,0.1187230559500194,0.99115632571058865,0.051444598398170095,0.020323679994509673,0
39,40,0.54679007894189247,0.16208729956959411,0.31330644693334575,-0.059310747326861007,-0.0033984831518180211,0.11121217661583305,0.99201942387040221,0.056267540779129807,0.020056865024254644,0
40,41,0.65637668277101535,-0.090280536563583258,0.35554453834054123,0.032470164020201288,0.0067564357921447507,-0.040928196093033699,0.99861149692383278,0.05879815223152729,0.017108136252645109,0
3,41,0.34840354247295208,-3.5894469013659522,0.18946368013401782,0.025201489963163074,0.0076623972611112633,-0.026137830336194948,0.99931125601444415,0.15142944510179196,0.035000000000000003,1
41,42,0.67271940439844746,-0.0044353250517432663,0.37725922624976893,0.00027429208669644666,-0.0034563405721480161,0.00090390166406541174,0.9999935806971374,0.059282368775533827,0.015143324077313423,0
42,43,0.68155511631203636,0.12300314394612855,0.38203900414493575,-0.038510296575357261,0.010414687617399781,0.048561614229278183,0.9980231765660339,0.059773734957636986,0.017515535780811747,0
43,44,0.66262691341224578,0.017733245385394003,0.37969192531984852,-0.008789299111667195,-0.0029210585443650312,0.020972149372574769,0.99973715775137639,0.059097690510295217,0.015917132511729038,0
44,45,0.65924949639284858,0.02417648022933383,0.36738942286331344,-0.0069702967678746761,0.0017236208066415395,0.014650835977795046,0.99986688969054005,0.058877390390397293,0.015652657981178975,0
45,46,0.35905667401829788,-0.071916753604307715,0.22704663570500827,0.065937747809138053,-0.0076766951362595886,-0.11515911528931817,0.99112646011062833,0.050771602985136069,0.020332674921000063,0
