id,stamp,odom_x,odom_y,odom_z,odom_qx,odom_qy,odom_qz,odom_qw,map_x,map_y,map_z,map_qx,map_qy,map_qz,map_qw
0,1789653788.5195093,-0.0080427776263927754,-0.0006365688211699851,-0.00062309085790543406,-0.00012927560770546466,0.26080436493695658,0.00019346566915331049,0.96539164544172518,-0.0080427776263927754,-0.0006365688211699851,-0.00062309085790543406,-0.00012927560770546474,0.26080436493695675,0.00019346566915331062,0.96539164544172584
1,1789653845.719106,0.75176261182454174,-0.04734879410103203,0.051939430868038115,0.0078809229345115032,0.25979588072257009,-0.012844359946812376,0.96554596671045267,0.75134058421260019,-0.048603135424723096,0.052642627177136199,0.0077719017516954311,0.25964987251551286,-0.012901771320079816,0.96558535901423248
2,1789653852.0193655,1.525612214857986,-0.058701600411414666,0.055943738362630176,0.0071123056543380145,0.2570976648419363,-0.0088356214054574351,0.96631885919475202,1.5247624004888538,-0.061263819273269481,0.05759057439650548,0.0068901211593583485,0.25683176166285343,-0.0089159615978116301,0.96639043769086985
3,1789653857.9196007,2.2751692801332513,-0.11038085535763992,0.047149634350024686,0.0094965156588116134,0.25541952712339494,-0.022321724653618584,0.9665259551418427,2.2739040277367768,-0.11422178519027087,0.049926355824832402,0.0091546213113802288,0.25504057145736531,-0.022392247964758066,0.96662768791837883
4,1789653862.5189474,3.0266735574276757,-0.12753186940099814,0.038731463947756964,0.0094902462191549675,0.25448989891399193,-0.012672299651799038,0.96694583064353845,3.0252150260241275,-0.13140375531978138,0.042184377048037153,0.009167071595762721,0.25403003129043999,-0.012656619490876334,0.96707006880783952
5,1789653868.5187838,3.7802874168003124,-0.20258179400473533,0.020130224950601742,0.020277678354698125,0.26167201066764295,-0.045757010640513358,0.96385832494763646,3.7786591676545269,-0.20637477327252768,0.024429655046693227,0.019998301043160038,0.26111345911703021,-0.045637708700992145,0.96402128035010182
6,1789653873.6190577,4.5331670886807967,-0.25745184800046289,0.0041749585759180505,0.020389999852132353,0.26418067323015682,-0.034351682210191352,0.96364556851932304,4.531376019103508,-0.26102779686496247,0.0094499569556279472,0.020126875564703533,0.26354652640668591,-0.034141634639672444,0.96383218771895363
7,1789653877.3190882,5.2818097078597308,-0.30298154404066546,-0.014330870677960151,0.018203869982521922,0.26097346257949761,-0.023386171280910244,0.96489095650215762,5.2798664372764543,-0.30622003215934979,-0.0079671608384940685,0.01795636061549687,0.26026291011388147,-0.02308372835599198,0.96509477680572209
8,1789653882.9192419,6.0451109312566533,-0.33266273621564096,-0.024744651346617831,0.0092704652751181976,0.26005514782462413,-0.011332536211927256,0.96548275602746214,6.0430004800097903,-0.33542561219624745,-0.017155156781765223,0.0090356374325242517,0.25926527850745057,-0.010941118537204437,0.96570190252572097
9,1789653885.3188434,6.2249096944988134,-0.40864923535974362,-0.056252781069125922,0.037584063535250456,0.27369063680986178,-0.15289923789122473,0.94884281972461315,6.2227996630343734,-0.41129482438213666,-0.048296742190232486,0.037517165542906517,0.27278700553118485,-0.15231938905369488,0.94919888096292282
